Semester,Age,Gender,Address,Region,Family_Size,Family_Income,First_Generation_Student,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,GPA,Marks_Math,Marks_Physics,Marks_CS,Marks_English,Marks_Economics,Marks_Elective,Grade_1,Grade_2,Final_Grade,Number_of_Backlogs,Number_of_Failures,Attendance_Pct,Assignment_Score,Credits_Completed,Study_Time,Number_of_Absences,LMS_Activity_Score,Login_Frequency_Per_Week,Participation_Level,Class_Engagement_Score,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Wants_Higher_Education,Internet_Access,In_Relationship,Attended_Nursery,Travel_Time,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Tuition_Fee_Payment_Status,Scholarship_Available,Financial_Aid,Dropped_Out
3,20,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Healthcare,Home,Reputation,Father,6.93,48.6,44.1,40.4,50.0,46.5,43.8,15,14,14,0,0,85.7,48.9,72,4,3,66.4,7,Medium,6.7,No,Yes,Yes,No,Yes,Yes,No,No,3,1,4,1,3,3,5,Unpaid,No,No,0
4,21,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Healthcare,Home,Reputation,Father,5.36,37.3,49.3,43.3,43.5,49.9,58.0,12,8,10,0,0,66.3,33.0,96,4,3,57.3,4,Low,3.4,No,No,Yes,Yes,Yes,Yes,No,No,3,1,5,1,5,4,3,Paid,No,No,0
1,23,Female,Urban,East,<=3,Low,No,Together,Unknown,Higher,Healthcare,Healthcare,Course,Mother,6.71,59.0,48.1,66.0,60.3,51.8,42.9,12,14,13,1,0,83.7,44.4,20,3,7,60.8,7,Medium,6.3,No,No,No,Yes,No,No,No,No,3,3,3,1,5,1,4,Paid,No,No,0
2,24,Female,Urban,East,<=3,Low,No,Together,Unknown,Higher,Healthcare,Healthcare,Course,Mother,5.66,45.6,53.3,44.5,52.6,40.8,31.0,11,12,12,1,0,100.0,36.2,40,2,4,72.9,4,Medium,7.0,Yes,Yes,No,No,No,No,No,No,3,3,1,3,1,5,3,Partial,No,No,0
3,24,Female,Urban,East,<=3,Low,No,Together,Unknown,Higher,Healthcare,Healthcare,Course,Mother,7.95,60.9,61.1,66.7,83.2,58.7,55.0,14,11,12,1,0,63.8,50.4,60,4,16,52.6,3,High,5.7,Yes,No,No,Yes,No,No,No,No,3,3,2,1,4,2,3,Paid,No,No,0
4,25,Female,Urban,East,<=3,Low,No,Together,Unknown,Higher,Healthcare,Healthcare,Course,Mother,6.37,54.9,44.0,44.2,43.8,44.5,40.1,9,12,10,2,0,77.9,48.4,64,4,3,61.1,2,Medium,6.7,No,Yes,No,No,No,No,No,No,3,3,2,1,3,5,3,Unpaid,No,No,0
1,24,Male,Urban,Central,>3,High,Yes,Together,Unknown,Higher,Other,Home,Reputation,Mother,6.03,28.0,36.5,35.3,41.6,49.4,55.0,10,11,10,0,1,77.7,59.0,24,4,4,59.4,0,Medium,4.3,Yes,No,Yes,No,Yes,Yes,No,Yes,1,1,3,1,4,5,3,Paid,No,No,0
2,25,Male,Urban,Central,>3,High,Yes,Together,Unknown,Higher,Other,Home,Reputation,Mother,8.94,62.7,65.3,71.7,68.6,79.9,66.4,14,15,14,2,0,76.7,59.7,32,3,4,62.7,3,High,6.9,No,Yes,No,No,Yes,Yes,No,Yes,1,1,5,2,3,1,4,Partial,No,No,0
3,25,Male,Urban,Central,>3,High,Yes,Together,Unknown,Higher,Other,Home,Reputation,Mother,4.65,31.8,39.1,53.1,40.0,41.3,19.7,7,10,8,4,0,62.5,29.6,24,3,9,60.5,1,Low,3.8,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,4,2,5,5,3,Partial,No,No,0
4,26,Male,Urban,Central,>3,High,Yes,Together,Unknown,Higher,Other,Home,Reputation,Mother,4.94,25.6,29.8,33.9,37.1,30.5,33.4,9,7,8,3,0,77.2,35.6,48,4,3,52.2,6,Low,2.7,No,No,Yes,No,Yes,Yes,No,Yes,1,1,1,1,1,4,4,Paid,No,No,1
1,21,Male,Rural,North,>3,Middle,No,Together,Unknown,Secondary,Services,Other,Course,Father,9.02,63.7,68.6,66.9,54.8,69.8,77.1,15,15,15,0,0,89.5,67.1,24,2,4,91.4,4,High,6.4,No,No,No,No,Yes,Yes,No,No,2,5,1,4,5,5,2,Paid,Yes,Yes,0
2,22,Male,Rural,North,>3,Middle,No,Together,Unknown,Secondary,Services,Other,Course,Father,10.0,69.6,81.4,66.6,74.1,74.0,82.0,19,19,19,1,0,100.0,67.5,40,4,4,69.8,6,High,7.0,No,No,Yes,Yes,Yes,Yes,No,No,2,5,2,1,5,2,3,Paid,Yes,Yes,0
3,22,Male,Rural,North,>3,Middle,No,Together,Unknown,Secondary,Services,Other,Course,Father,8.94,68.0,68.6,72.1,71.1,62.2,75.4,15,20,18,0,0,98.1,74.1,72,3,6,61.5,2,High,7.4,No,No,No,Yes,Yes,Yes,No,No,2,5,1,3,1,3,1,Paid,Yes,Yes,0
4,23,Male,Rural,North,>3,Middle,No,Together,Unknown,Secondary,Services,Other,Course,Father,8.96,66.4,75.5,67.0,60.1,72.2,55.3,16,18,17,0,0,95.6,51.6,96,4,2,83.5,4,High,9.9,Yes,Yes,No,No,Yes,Yes,No,No,2,5,4,2,4,2,3,Paid,Yes,Yes,0
1,20,Male,Rural,East,<=3,Middle,No,Together,Primary,Higher,Healthcare,Healthcare,Reputation,Father,7.74,44.0,56.4,65.1,59.3,48.8,61.0,12,14,13,0,0,80.1,46.4,24,3,3,51.9,2,High,6.6,No,No,No,Yes,No,Yes,No,Yes,4,5,4,1,1,5,1,Paid,No,No,0
2,21,Male,Rural,East,<=3,Middle,No,Together,Primary,Higher,Healthcare,Healthcare,Reputation,Father,5.12,29.6,27.7,43.4,38.2,40.3,33.3,8,10,9,0,0,80.6,25.8,48,4,3,55.4,5,Low,4.3,No,No,No,Yes,No,Yes,No,Yes,4,5,1,1,3,2,2,Paid,No,No,0
3,21,Male,Rural,East,<=3,Middle,No,Together,Primary,Higher,Healthcare,Healthcare,Reputation,Father,5.96,57.8,56.8,43.5,37.7,43.1,59.6,9,9,9,0,0,87.3,48.6,72,4,5,61.5,0,Medium,3.9,No,No,No,No,No,Yes,No,Yes,4,5,5,1,4,5,1,Paid,No,No,0
4,22,Male,Rural,East,<=3,Middle,No,Together,Primary,Higher,Healthcare,Healthcare,Reputation,Father,3.65,27.7,25.3,34.4,22.9,24.6,23.2,6,6,6,2,1,69.4,35.8,64,3,5,60.9,2,Low,2.4,Yes,Yes,Yes,No,No,Yes,No,Yes,4,5,5,3,2,2,1,Paid,No,No,0
1,24,Female,Urban,East,<=3,Low,Yes,Together,Secondary,Higher,Services,Healthcare,Other,Other,7.47,53.7,58.9,56.3,52.4,64.6,58.2,14,12,13,0,0,73.0,54.3,24,2,2,61.4,2,Medium,4.8,Yes,Yes,No,Yes,Yes,Yes,No,No,3,1,1,2,2,2,3,Unpaid,No,No,0
2,25,Female,Urban,East,<=3,Low,Yes,Together,Secondary,Higher,Services,Healthcare,Other,Other,6.12,54.1,52.4,36.0,48.7,24.9,31.3,10,11,10,0,0,81.6,40.4,48,2,4,75.8,6,Medium,5.2,No,No,No,No,Yes,Yes,No,No,3,1,5,4,5,1,3,Paid,No,No,0
3,25,Female,Urban,East,<=3,Low,Yes,Together,Secondary,Higher,Services,Healthcare,Other,Other,7.97,58.7,58.7,74.2,61.9,62.4,75.3,19,12,16,0,0,79.8,48.9,72,2,4,67.3,0,High,6.4,No,Yes,No,No,Yes,Yes,No,No,3,1,3,4,4,4,1,Paid,No,No,0
4,26,Female,Urban,East,<=3,Low,Yes,Together,Secondary,Higher,Services,Healthcare,Other,Other,5.99,35.1,44.0,47.8,60.2,58.6,54.4,9,10,10,1,0,80.5,44.9,80,2,5,72.6,2,Medium,4.8,No,Yes,Yes,No,Yes,Yes,No,No,3,1,3,2,4,5,5,Paid,No,No,0
1,24,Female,Urban,Central,<=3,High,No,Together,Higher,Unknown,Teacher,Home,Other,Father,5.56,37.9,52.9,43.0,31.3,42.7,37.5,10,10,10,2,1,88.9,43.2,16,4,2,62.3,0,Medium,4.9,No,No,Yes,Yes,Yes,Yes,No,No,3,3,1,1,4,3,2,Paid,No,No,0
2,25,Female,Urban,Central,<=3,High,No,Together,Higher,Unknown,Teacher,Home,Other,Father,5.28,47.7,40.4,55.0,46.2,38.7,39.7,10,10,10,0,0,81.3,52.9,48,3,5,64.5,5,Low,4.1,No,Yes,No,No,Yes,Yes,No,No,3,3,5,2,5,1,2,Paid,No,No,0
3,25,Female,Urban,Central,<=3,High,No,Together,Higher,Unknown,Teacher,Home,Other,Father,3.95,35.0,22.0,29.9,22.5,39.2,28.0,10,5,8,2,3,82.9,37.2,48,4,4,75.5,5,Low,4.6,Yes,No,No,Yes,Yes,Yes,No,No,3,3,2,1,4,4,4,Paid,No,No,1
4,26,Female,Urban,Central,<=3,High,No,Together,Higher,Unknown,Teacher,Home,Other,Father,4.12,19.8,39.2,29.4,24.5,35.7,31.1,6,9,8,3,1,53.8,29.0,48,3,14,45.6,4,Low,3.9,No,Yes,Yes,Yes,Yes,Yes,No,No,3,3,4,3,2,2,2,Partial,No,No,1
1,19,Female,Rural,West,>3,Low,Yes,Together,Primary,Unknown,Home,Services,Course,Mother,6.94,52.7,58.6,48.9,54.4,44.4,45.9,14,15,14,0,0,80.0,43.1,24,1,3,60.9,3,Medium,4.5,Yes,Yes,No,No,Yes,Yes,Yes,No,3,4,5,5,2,2,5,Paid,No,No,0
2,20,Female,Rural,West,>3,Low,Yes,Together,Primary,Unknown,Home,Services,Course,Mother,4.71,42.2,29.4,34.2,29.3,36.7,23.8,8,7,8,1,0,79.9,12.3,40,4,4,64.7,4,Low,5.5,No,Yes,Yes,No,Yes,Yes,Yes,No,3,4,2,2,5,2,4,Paid,No,No,0
3,20,Female,Rural,West,>3,Low,Yes,Together,Primary,Unknown,Home,Services,Course,Mother,2.68,20.9,14.6,33.0,29.0,17.7,17.9,5,7,6,1,3,68.6,16.0,60,4,5,60.1,2,Low,1.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,4,5,1,4,1,2,Partial,No,No,0
4,21,Female,Rural,West,>3,Low,Yes,Together,Primary,Unknown,Home,Services,Course,Mother,4.48,32.5,26.7,30.9,45.6,19.6,35.3,5,8,6,1,2,87.2,34.6,80,4,8,47.0,3,Low,2.4,No,No,No,Yes,Yes,Yes,Yes,No,3,4,5,2,2,4,3,Partial,No,No,0
1,22,Male,Urban,South,<=3,Low,No,Together,Primary,Higher,Other,Teacher,Reputation,Father,7.39,50.6,59.3,52.0,53.7,40.6,52.5,15,12,14,0,1,74.4,43.3,24,2,7,67.0,6,Medium,6.4,No,Yes,No,Yes,Yes,Yes,No,No,4,3,2,3,2,3,2,Unpaid,No,No,0
2,23,Male,Urban,South,<=3,Low,No,Together,Primary,Higher,Other,Teacher,Reputation,Father,4.78,32.3,46.4,46.2,32.9,47.4,30.6,7,10,8,1,0,69.9,33.6,40,1,7,59.3,3,Low,5.3,Yes,Yes,No,Yes,Yes,Yes,No,No,4,3,3,4,4,4,2,Unpaid,No,No,0
3,23,Male,Urban,South,<=3,Low,No,Together,Primary,Higher,Other,Teacher,Reputation,Father,3.46,22.0,19.3,21.1,30.1,16.4,27.6,5,5,5,0,1,75.6,38.2,72,3,3,56.6,5,Low,4.0,Yes,No,No,No,Yes,Yes,No,No,4,3,4,3,4,1,2,Paid,No,No,0
4,24,Male,Urban,South,<=3,Low,No,Together,Primary,Higher,Other,Teacher,Reputation,Father,5.77,51.6,46.2,32.6,34.4,31.8,36.8,11,10,10,0,0,58.9,33.5,96,4,15,53.5,4,Medium,5.2,No,Yes,No,Yes,Yes,Yes,No,No,4,3,1,1,4,3,1,Unpaid,No,No,1
1,21,Female,Urban,Central,>3,Middle,No,Apart,Primary,Higher,Home,Services,Other,Mother,6.99,46.4,36.7,51.7,54.9,57.3,40.3,14,12,13,0,0,71.4,49.6,24,2,3,60.3,3,Medium,7.1,No,No,No,Yes,Yes,No,No,Yes,1,1,3,4,1,1,4,Partial,No,Yes,0
2,22,Female,Urban,Central,>3,Middle,No,Apart,Primary,Higher,Home,Services,Other,Mother,6.86,55.4,58.2,51.0,49.0,56.7,43.7,13,13,13,1,0,86.9,64.4,40,2,2,63.0,2,Medium,4.7,No,No,No,No,Yes,No,No,Yes,1,1,2,3,1,2,5,Unpaid,No,Yes,0
3,22,Female,Urban,Central,>3,Middle,No,Apart,Primary,Higher,Home,Services,Other,Mother,6.06,41.1,43.0,47.3,48.1,38.0,51.9,11,12,12,0,0,79.2,36.2,72,4,6,60.7,7,Medium,5.8,Yes,Yes,No,Yes,Yes,No,No,Yes,1,1,1,2,4,1,5,Paid,No,Yes,0
4,23,Female,Urban,Central,>3,Middle,No,Apart,Primary,Higher,Home,Services,Other,Mother,7.0,44.2,51.4,70.5,65.2,43.8,58.1,10,15,12,0,1,70.8,55.4,96,4,1,50.4,2,Medium,6.8,No,Yes,No,No,Yes,No,No,Yes,1,1,3,1,4,2,4,Paid,No,Yes,0
1,18,Male,Rural,South,>3,Middle,No,Apart,Higher,Unknown,Other,Services,Other,Mother,5.15,43.6,42.2,39.0,31.5,58.2,40.6,14,10,12,0,1,73.9,33.2,24,2,3,56.9,6,Low,1.7,No,Yes,No,Yes,Yes,Yes,No,Yes,2,3,4,3,4,1,2,Partial,No,No,0
2,19,Male,Rural,South,>3,Middle,No,Apart,Higher,Unknown,Other,Services,Other,Mother,4.6,44.6,35.5,45.1,38.8,34.0,32.1,7,9,8,1,0,60.5,46.0,40,2,11,34.6,3,Low,2.7,No,Yes,No,Yes,Yes,Yes,No,Yes,2,3,4,3,5,2,5,Partial,No,No,0
3,19,Male,Rural,South,>3,Middle,No,Apart,Higher,Unknown,Other,Services,Other,Mother,4.43,39.8,21.4,44.7,39.2,40.5,19.4,8,9,8,1,1,73.2,45.2,60,2,2,65.0,3,Low,3.9,No,No,No,No,Yes,Yes,No,Yes,2,3,3,3,2,3,4,Paid,No,No,0
4,20,Male,Rural,South,>3,Middle,No,Apart,Higher,Unknown,Other,Services,Other,Mother,3.94,25.5,32.6,27.1,28.4,23.0,14.2,7,8,8,5,2,64.1,32.8,16,2,9,51.1,6,Low,2.5,No,No,Yes,Yes,Yes,Yes,No,Yes,2,3,4,4,5,4,4,Paid,No,No,1
1,24,Male,Urban,West,>3,Middle,Yes,Apart,Secondary,Higher,Teacher,Healthcare,Reputation,Mother,4.78,39.5,49.6,26.4,39.7,27.7,36.2,8,7,8,0,0,78.2,45.3,24,2,4,56.1,3,Low,3.3,No,No,No,Yes,No,Yes,No,No,4,2,3,2,3,1,3,Paid,No,No,0
2,25,Male,Urban,West,>3,Middle,Yes,Apart,Secondary,Higher,Teacher,Healthcare,Reputation,Mother,6.63,31.4,48.6,62.0,57.6,48.2,58.3,12,14,13,1,0,91.9,53.5,40,3,3,63.0,2,Medium,3.6,No,No,No,No,No,Yes,No,No,4,2,2,1,5,5,5,Paid,No,No,0
3,25,Male,Urban,West,>3,Middle,Yes,Apart,Secondary,Higher,Teacher,Healthcare,Reputation,Mother,4.33,41.6,33.2,32.5,44.6,56.2,20.6,5,8,6,1,2,80.6,19.7,60,4,3,71.5,7,Low,2.3,No,No,Yes,No,No,Yes,No,No,4,2,4,1,2,4,5,Paid,No,No,0
4,26,Male,Urban,West,>3,Middle,Yes,Apart,Secondary,Higher,Teacher,Healthcare,Reputation,Mother,5.97,44.5,50.5,39.5,47.6,44.2,42.1,11,12,12,0,0,74.6,44.7,96,3,4,55.1,5,Medium,3.9,No,No,Yes,No,No,Yes,No,No,4,2,4,2,1,3,2,Paid,No,No,0
1,22,Female,Urban,East,>3,High,No,Together,Unknown,Higher,Home,Healthcare,Reputation,Mother,8.67,69.4,40.9,64.5,54.5,66.4,57.6,15,15,15,0,0,100.0,66.6,24,2,5,83.2,9,High,4.6,No,Yes,Yes,No,Yes,No,No,Yes,1,3,1,4,5,3,1,Paid,No,No,0
2,23,Female,Urban,East,>3,High,No,Together,Unknown,Higher,Home,Healthcare,Reputation,Mother,10.0,79.1,62.7,79.0,85.3,56.1,79.4,16,20,18,0,0,80.1,70.4,48,3,7,57.9,8,High,10.0,No,No,No,Yes,Yes,No,No,Yes,1,3,3,3,5,3,3,Paid,No,No,0
3,23,Female,Urban,East,>3,High,No,Together,Unknown,Higher,Home,Healthcare,Reputation,Mother,7.1,43.6,56.2,49.1,61.5,45.9,40.9,13,13,13,2,0,79.5,47.7,48,4,6,72.8,7,Medium,5.8,Yes,Yes,No,Yes,Yes,No,No,Yes,1,3,2,2,4,3,5,Partial,No,No,0
4,24,Female,Urban,East,>3,High,No,Together,Unknown,Higher,Home,Healthcare,Reputation,Mother,9.66,85.0,88.7,83.0,65.0,76.5,71.3,18,20,19,1,0,80.0,74.4,80,4,5,49.7,3,High,9.1,No,No,No,Yes,Yes,No,No,Yes,1,3,2,2,3,2,3,Paid,No,No,0
1,18,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Teacher,Healthcare,Other,Father,6.09,44.3,51.2,58.2,39.1,54.6,58.2,11,13,12,0,0,58.1,37.5,24,2,13,63.6,3,Medium,4.5,Yes,No,No,Yes,Yes,Yes,No,Yes,4,5,2,3,2,1,3,Unpaid,No,No,0
2,19,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Teacher,Healthcare,Other,Father,3.69,34.9,24.4,20.5,29.7,22.5,36.8,8,6,7,2,1,64.0,33.0,32,4,15,64.9,2,Low,2.2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,5,2,1,1,2,3,Unpaid,No,No,0
3,19,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Teacher,Healthcare,Other,Father,3.57,24.4,28.2,23.1,45.4,31.4,23.1,7,6,6,2,2,65.5,12.0,48,2,4,46.1,4,Low,3.8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4,5,4,2,2,3,4,Paid,No,No,0
4,20,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Teacher,Healthcare,Other,Father,4.05,35.9,16.3,26.8,32.5,20.4,27.7,9,9,9,2,3,51.3,4.8,64,3,12,31.4,0,Low,2.1,No,Yes,Yes,No,Yes,Yes,No,Yes,4,5,2,3,5,3,5,Partial,No,No,1
1,21,Male,Rural,North,<=3,Middle,No,Apart,Secondary,Higher,Other,Other,Reputation,Mother,5.27,35.0,38.3,36.2,37.6,29.4,44.4,9,9,9,0,0,85.5,40.3,24,1,2,59.4,7,Low,4.6,No,Yes,No,Yes,Yes,Yes,No,Yes,4,5,1,3,2,2,3,Paid,No,Yes,0
2,22,Male,Rural,North,<=3,Middle,No,Apart,Secondary,Higher,Other,Other,Reputation,Mother,7.52,61.8,45.1,49.8,70.9,57.0,60.1,11,18,14,0,0,63.8,55.2,48,2,9,54.1,5,High,6.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4,5,1,3,4,5,1,Partial,No,Yes,0
3,22,Male,Rural,North,<=3,Middle,No,Apart,Secondary,Higher,Other,Other,Reputation,Mother,7.17,64.5,64.7,54.4,58.1,67.3,49.4,12,12,12,0,0,58.0,38.5,72,4,11,39.0,4,Medium,7.3,No,No,Yes,No,Yes,Yes,No,Yes,4,5,1,1,5,2,4,Paid,No,Yes,0
4,23,Male,Rural,North,<=3,Middle,No,Apart,Secondary,Higher,Other,Other,Reputation,Mother,6.69,62.5,45.7,52.6,53.1,39.1,52.2,13,12,12,1,0,65.3,51.6,80,4,2,67.4,3,Medium,4.5,No,No,No,Yes,Yes,Yes,No,Yes,4,5,1,2,5,3,3,Partial,No,Yes,0
